business_id,,business_id,name,address,city,state,postal_code,latitude,longitude,phone_number,Score,date,type
151,211,151,BUS STOP PIZZA #1,256 DIVISADERO ST ,San Francisco,CA,94117,37.771487,-122.437047,14155629119.0,98,20130111,routine
155,214,155,CAFE COLE,609 COLE ST ,San Francisco,CA,94117,37.769303,-122.450724,14155667771.0,94,20130430,routine
164,219,164,SAN FRANCISCO SOUP CO,"50 POST ST, 3RD FLOOR",San Francisco,CA,94104,37.789064,-122.402861,,100,20121003,routine
178,224,178,C & Y CAFE,400 CALIFORNIA ST  3RD FLOOR,San Francisco,CA,94104,37.793128,-122.401395,,100,20130110,routine
179,229,179,SECRET GARDEN TEA HOUSE,721 LINCOLN WAY ,San Francisco,CA,94122,37.765933,-122.465809,14155812403.0,88,20121207,routine
180,233,180,NENAS RESTAURANT,3459 MISSION ST ,San Francisco,CA,94110,37.74146,-122.422484,14155288985.0,92,20121213,routine
184,238,184,RADIO HAVANA,1109 VALENCIA ST,San Francisco,CA,94110,37.755124,-122.420916,14155827659.0,98,20121106,routine
187,242,187,TAZA WRAPS & JUICE,"750 FONT, BLDG B BLVD ",San Francisco,CA,94132,37.723054,-122.483612,14155374525.0,100,20121108,routine
190,246,190,COURTYARD BY MARRIOTT-STAFF KITCHEN,299 02ND ST ,San Francisco,CA,94105,37.785614,-122.396693,,98,20121116,routine
192,250,192,ARLEQUIN,384B HAYES ST,San Francisco,CA,94102,37.777014,-122.422345,,96,20130419,routine
194,255,194,BAYSIDE COFFEE SHOP,2011 BAYSHORE BLVD ,San Francisco,CA,94134,37.715126,-122.398901,14155462023.0,90,20130107,routine
198,257,198,SUBWAY,3801 03RD ST 310,San Francisco,CA,94124,37.741829,-122.388098,,100,20121127,routine
199,262,199,TIFFANY'S CAFE,3801 03RD ST 535,San Francisco,CA,94124,37.741829,-122.388098,,88,20121127,routine
200,267,200,JIM'S SMOKE SHOP,600 20TH ST ,San Francisco,CA,94107,37.760568,-122.387772,,88,20121024,routine
201,272,201,CHEZ PAPA,1401 18TH ST ,San Francisco,CA,94107,37.762543,-122.396739,,90,20130415,routine
208,277,208,CONSTANS GROCERY,4124 03RD ST ,San Francisco,CA,94124,37.739961,-122.389003,,81,20120823,routine
216,280,216,SORABOL,101 SPEAR ST ,San Francisco,CA,94105,37.792577,-122.393992,,100,20130306,routine
217,285,217,PROGRESSIVE GROUNDS,400 CORTLAND AVE ,San Francisco,CA,94110,37.739143,-122.417653,,100,20130207,routine
219,290,219,CUP OF BLUES,900 22ND ST ,San Francisco,CA,94107,37.757838,-122.390382,,92,20130412,routine
221,295,221,NOODLE EXPRESS,1235 VAN NESS AVE ,San Francisco,CA,94109,37.787076,-122.421822,,91,20130131,routine
226,301,226,GRUMPY'S AMERICAN PUB,125 VALLEJO ST ,San Francisco,CA,94111,37.799594,-122.400586,,86,20130326,routine
229,306,229,BANGKOK RESTAURANT,0301 KEARNY ST,San Francisco,CA,94108,37.790779,-122.404101,,96,20120725,routine
230,309,230,GLOBE EATS INC,290 PACIFIC AVE ,San Francisco,CA,94111,37.797738,-122.400603,,64,20130124,routine
231,312,231,CAFFE PUCCINI,411 COLUMBUS AVE ,San Francisco,CA,94133,37.799087,-122.408488,,85,20121106,routine
234,317,234,NEW MOON RESTAURANT,1247 STOCKTON ST ,San Francisco,CA,94133,37.797303,-122.408574,,86,20130506,routine
236,321,236,GELATO CLASSICO ITALIAN ICE,576 UNION ST ,San Francisco,CA,94133,37.800543,-122.408784,,94,20121012,routine
239,326,239,JUST WONTON,1241 VICENTE ST ,San Francisco,CA,94116,37.739063,-122.480409,,83,20120830,routine
240,331,240,MIKI RESTAURANT,3639 BALBOA ST ,San Francisco,CA,94121,37.775663,-122.497949,,65,20121213,routine
247,336,247,TOY BOAT DESSERT CAFE,401 CLEMENT ST ,San Francisco,CA,94118,37.782953,-122.46351,,89,20121114,routine
